id,listing_id,post_town,outcode,property_type,first_published_date_day,first_published_date_month,first_published_date_year,last_published_date_day,last_published_date_month,last_published_date_year,num_bathrooms,num_bedrooms,num_floors,num_recepts,price
31549,52056888,Southampton,30,2,23,8,2019,24,8,2019,1,3,0,1,330000
31550,51573208,Southampton,30,0,19,8,2019,20,8,2019,1,3,0,1,330000
31551,52503021,Southampton,18,2,29,7,2019,9,8,2019,1,4,0,2,330000
31552,52450280,Southampton,18,2,14,5,2019,9,8,2019,0,4,0,0,350000
31553,52238450,Southampton,16,0,27,8,2019,27,8,2019,1,3,0,1,330000
31554,51436950,Southampton,18,0,5,8,2019,6,8,2019,1,3,0,2,329950
31555,52525237,Southampton,18,2,10,8,2019,11,8,2019,0,3,0,0,340000
31556,52309346,Southampton,14,5,3,5,2019,10,8,2019,0,2,0,0,339950
31557,52370721,Southampton,30,0,20,3,2019,5,8,2019,1,3,0,1,329950
31558,51319268,Southampton,18,2,21,2,2019,30,7,2019,1,3,0,2,329950
31559,47085603,Southampton,18,0,25,6,2019,24,7,2019,3,3,0,3,350000
31560,50573606,Southampton,18,0,25,6,2019,28,8,2019,2,2,0,2,329950
31561,51878803,Southampton,19,3,17,7,2019,28,8,2019,1,3,0,2,329950
31562,51878976,Southampton,14,5,7,3,2019,13,5,2019,2,2,0,1,329950
31563,52125070,Southampton,15,2,16,2,2019,20,8,2019,0,4,0,0,327950
31564,50725505,Southampton,15,3,24,7,2019,23,8,2019,0,3,0,0,319950
31565,50519685,Southampton,30,8,15,7,2019,16,7,2019,2,3,0,1,327950
31566,52187896,Southampton,15,5,21,3,2019,2,7,2019,1,3,0,2,325000
31567,52096850,Southampton,17,5,2,8,2019,12,8,2019,2,2,0,1,325000
31568,50879281,Southampton,15,2,9,8,2019,12,8,2019,1,3,0,2,325000
31569,52280379,Southampton,15,1,21,1,2019,28,8,2019,2,3,0,2,325000
31570,52357027,Southampton,17,5,8,4,2019,28,8,2019,1,2,0,1,325000
31571,50239010,Southampton,14,5,11,6,2019,20,8,2019,2,2,0,1,325000
31572,51069617,Southampton,15,2,4,6,2019,27,8,2019,2,3,0,3,325000
31573,51735370,Southampton,18,7,10,6,2019,20,8,2019,1,3,0,1,325000
31574,51653519,Southampton,15,2,7,6,2019,29,8,2019,0,3,0,0,325000
31575,52403265,Southampton,15,2,15,7,2019,23,8,2019,2,3,0,2,325000
31576,51689342,Southampton,30,8,14,8,2019,27,8,2019,2,3,0,2,325000
31577,52097799,Southampton,14,5,24,7,2019,12,8,2019,3,2,0,1,325000
31578,52407648,Southampton,15,2,14,8,2019,21,8,2019,2,3,0,2,325000
31579,52191172,Southampton,18,3,14,6,2019,28,8,2019,1,3,2,2,380000
31580,52408271,Southampton,18,0,16,8,2019,17,8,2019,0,3,0,0,360000
31581,51774382,Southampton,15,2,2,7,2019,20,8,2019,0,3,0,0,340000
31582,52435738,Southampton,16,2,25,7,2019,19,8,2019,2,4,0,0,325000
31583,51950249,Southampton,16,5,22,6,2019,25,6,2019,1,2,0,1,325000
31584,52203284,Southampton,14,5,13,8,2019,16,8,2019,0,2,0,0,375000
31585,51859981,Southampton,19,3,20,8,2019,21,8,2019,1,3,0,2,350000
31586,52385724,Southampton,15,2,6,8,2019,27,8,2019,1,4,2,3,325000
31587,52463626,Southampton,30,0,26,3,2019,19,7,2019,2,3,0,1,325000
31588,52316943,Southampton,19,3,4,1,2019,29,7,2019,0,4,0,0,325000
31589,50921617,Southampton,17,0,9,6,2019,20,8,2019,0,5,0,0,325000
31590,50075569,Southampton,16,2,15,5,2019,28,5,2019,2,3,0,2,325000
31591,51712920,Southampton,30,0,2,8,2019,12,8,2019,0,3,0,0,325000
31592,51444956,Southampton,19,7,28,5,2019,28,8,2019,1,4,0,2,325000
31593,52281734,Southampton,30,8,20,7,2019,22,7,2019,2,3,0,0,325000
31594,51577758,Southampton,17,2,4,3,2019,5,8,2019,1,4,0,2,365000
